ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
2113,Ss. Olish,CHANDEL (ST),BJP,0,95 Lac+,,MANIPUR,Graduate
2114,Khashim Vashum,CHINGAI (ST),NPF,0,2 Crore+,28 Lac+,MANIPUR,Graduate
2115,L.M. Khaute,CHURACHANDPUR (ST),JD(U),0,7 Crore+,10 Lac+,MANIPUR,Post Graduate
2116,Nongthombam Biren Singh,HEINGANG,BJP,0,1 Crore+,1 Lac+,MANIPUR,Graduate
2117,Thokchom Radheshyam Singh,HEIROK,BJP,0,1 Crore+,42 Lac+,MANIPUR,Graduate
2118,Letzamang Haokip,HENGLEP (ST),BJP,0,67 Lac+,,MANIPUR,Post Graduate
2119,Dr. Yumnam Radheshyam Singh,HIYANGLAM,BJP,0,1 Crore+,38 Lac+,MANIPUR,Graduate Professional
2120,Md. Achab Uddin,JIRIBAM,JD(U),0,0,28 Lac+,MANIPUR,12th Pass
2121,Mayanglambam Rameshwar Singh,KAKCHING,NPP,0,5 Crore+,52 Lac+,MANIPUR,Post Graduate
2122,Nemcha Kipgen,KANGPOKPI,BJP,0,3 Crore+,5 Lac+,MANIPUR,Others
2123,J Kumo Sha,KARONG (ST),IND,0,6 Lac+,,MANIPUR,Graduate
2124,Lourembam Rameshwor Meetei,KEIRAO,BJP,1,1 Crore+,43 Lac+,MANIPUR,Graduate
2125,Sapam Nishikant Singh,KEISAMTHONG,IND,1,29 Crore+,2 Crore+,MANIPUR,Graduate
2126,Surjakumar Okram,KHANGABOK,INC,1,2 Crore+,63 Lac+,MANIPUR,Graduate
2127,Sheikh Noorul Hassan,KHETRIGAO,NPP,1,89 Lac+,10 Lac+,MANIPUR,Post Graduate
2128,Thokchom Lokeshwar Singh,KHUNDRAKPAM,INC,1,4 Crore+,35 Lac+,MANIPUR,Post Graduate
2129,Leishangthem Susindro Meitei,KHURAI,BJP,0,3 Crore+,50 Lac+,MANIPUR,12th Pass
2130,Dr. Sapam Ranjan Singh,KONTHOUJAM,BJP,0,0,42 Lac+,MANIPUR,Post Graduate
2131,Sanasam Premchandra Singh,KUMBI,BJP,0,1 Crore+,,MANIPUR,12th Pass
2132,Khongbantabam Ibomcha,LAMLAI,BJP,0,37 Lac+,,MANIPUR,Graduate
2133,Sorokhaibam Rajen Singh,LAMSANG,BJP,1,4 Crore+,,MANIPUR,Graduate
2134,Karam Shyam,LANGTHABAL,BJP,1,2 Crore+,66 Lac+,MANIPUR,Graduate Professional
2135,Mohd Abdul Nasir,LILONG,JD(U),0,1 Crore+,47 Lac+,MANIPUR,Post Graduate
2136,Losii Dikho,MAO (ST),NPF,0,4 Crore+,4 Lac+,MANIPUR,Graduate
2137,Kongkham Robindro Singh,MAYANG IMPHAL,BJP,0,2 Crore+,50 Lac+,MANIPUR,Post Graduate
2138,Thongam Shanti Singh,MOIRANG,NPP,0,7 Crore+,,MANIPUR,12th Pass
2139,Thounaojam Basanta Kumar Singh,NAMBOL,BJP,0,4 Crore+,39 Lac+,MANIPUR,Post Graduate
2140,Sagolshem Kebi Devi,NAORIA PAKHANGLAKPA,BJP,0,0,1 Crore+,MANIPUR,10th Pass
2141,Dinganglung Gangmei,NUNGBA (ST),BJP,1,1 Crore+,,MANIPUR,Post Graduate
2142,Irengbam Nalini Devi,OINAM,NPP,0,2 Crore+,,MANIPUR,Graduate
2143,Sapam Kunjakeswor (Keba) Singh,PATSOI,BJP,1,23 Lac+,32 Lac+,MANIPUR,Graduate
2144,Leishiyo Keishing,PHUNGYAR (ST),NPF,0,1 Crore+,27 Lac+,MANIPUR,Post Graduate
2145,Rajkumar Imo Singh,SAGOLBAND,BJP,0,7 Crore+,83 Lac+,MANIPUR,Post Graduate
2146,Paolienlal Haokip,SAIKOT (ST),BJP,0,94 Lac+,,MANIPUR,Post Graduate
2147,Kimneo Haokip Hangshing,SAIKUL (ST),Kuki Peoples Alliance,0,83 Lac+,,MANIPUR,Post Graduate
2148,Haokholet Kipgen,SAITU (ST),IND,0,7 Crore+,,MANIPUR,10th Pass
2149,Heikham Dingo Singh,SEKMAI (SC),BJP,0,1 Crore+,37 Lac+,MANIPUR,Graduate
2150,Chinlunthang,SINGHAT (ST),Kuki Peoples Alliance,0,0,,MANIPUR,Graduate Professional
2151,Yumnam Khemchand Singh,SINGJAMEI,BJP,0,2 Crore+,59 Lac+,MANIPUR,10th Pass
2152,Kangujam Ranjit Singh,SUGNOO,INC,0,4 Crore+,39 Lac+,MANIPUR,12th Pass
2153,N. Kayisii,TADUBI (ST),NPP,0,2 Crore+,,MANIPUR,12th Pass
2154,Awangbow Newmai,TAMEI (ST),NPF,0,3 Crore+,4 Lac+,MANIPUR,Post Graduate
2155,Janghemlung Panmei,TAMENGLONG (ST),NPP,0,2 Crore+,,MANIPUR,Graduate
2156,Letpao Haokip,TENGNOUPAL (ST),BJP,0,4 Crore+,1 Crore+,MANIPUR,Graduate
2157,Tongbram Robindro Singh,THANGA,BJP,4,38 Lac+,4 Lac+,MANIPUR,12th Pass
2158,Khumukcham Joykisan Singh,THANGMEIBAND,JD(U),8,3 Crore+,32 Lac+,MANIPUR,Graduate
2159,Vungzagin Valte,THANLON (ST),BJP,0,1 Crore+,,MANIPUR,Graduate
2160,Thongam Biswajit Singh,THONGJU,BJP,0,0,30 Lac+,MANIPUR,Graduate
2161,Okram Ibobi Singh,THOUBAL,INC,4,2 Crore+,68 Lac+,MANIPUR,Graduate
2162,Ngursanglur Sanate,TIPAIMUKH (ST),JD(U),0,5 Lac+,2 Lac+,MANIPUR,12th Pass
2163,Ram Muivah,UKHRUL (ST),NPF,0,17 Crore+,,MANIPUR,Post Graduate
2164,Khwairakpam Raghumani Singh,URIPOK,BJP,0,2 Crore+,,MANIPUR,Graduate Professional
2165,Dr.Usham Deben Singh,WABGAI,BJP,0,7 Crore+,1 Crore+,MANIPUR,Doctorate
2166,Paonam Brojen Singh,WANGJING TENTHA,BJP,0,5 Crore+,43 Lac+,MANIPUR,Graduate
2167,Thangjam Arunkumar,WANGKHEI,JD(U),0,2 Crore+,1 Crore+,MANIPUR,Graduate Professional
2168,Keisham Meghachandra Singh,WANGKHEM,INC,1,7 Crore+,56 Lac+,MANIPUR,Post Graduate
2169,Khuraijam Loken Singh,WANGOI,NPP,0,3 Crore+,87 Lac+,MANIPUR,12th Pass
2170,Thokchom Satyabrata Singh,YAISKUL,BJP,0,0,,MANIPUR,Post Graduate
2171,Lahkmen Rymbui,AMLAREM (ST),UDP,0,19 Crore+,32 Lac+,MEGHALAYA,Graduate
2172,Miani D. Shira,AMPATI (ST),AITC,0,8 Crore+,1 Crore+,MEGHALAYA,Graduate
2173,Kartush R. Marak,BAGHMARA (ST),IND,0,18 Crore+,4 Crore+,MEGHALAYA,10th Pass
2174,Pongseng Marak,BAJENGDOBA (ST),NPP,0,71 Lac+,,MEGHALAYA,Graduate
2175,Sengchim N. Sangma,CHOKPOT (ST),NPP,0,86 Lac+,,MEGHALAYA,Graduate
2176,Rupa M. Marak,DADENGGRE (ST),AITC,0,5 Lac+,,MEGHALAYA,Graduate
2177,Brening A. Sangma,DALU (ST),NPP,0,16 Crore+,,MEGHALAYA,Graduate
2178,Dr. Mazel Ampareen Lyngdoh,EAST SHILLONG (ST),NPP,1,2 Crore+,20 Lac+,MEGHALAYA,Doctorate
2179,Saleng A. Sangma,GAMBEGRE (ST),INC,0,2 Crore+,,MEGHALAYA,Post Graduate
2180,Sosthenes Sohtun,JIRANG (ST),NPP,0,0,4 Crore+,MEGHALAYA,12th Pass
2181,Wailadmiki Shylla,JOWAI (ST),NPP,0,1 Crore+,,MEGHALAYA,12th Pass
2182,Rupert Momin,KHARKUTTA (ST),NPP,0,89 Lac+,16 Lac+,MEGHALAYA,Post Graduate
2183,Kyrmen Shylla,KHLIEHRIAT (ST),UDP,0,1 Crore+,15 Lac+,MEGHALAYA,10th Pass
2184,Sanjay A. Sangma,MAHENDRAGANJ (ST),NPP,1,9 Crore+,38 Lac+,MEGHALAYA,8th Pass
2185,Metbah Lyngdoh,MAIRANG (ST),UDP,0,146 Crore+,44 Crore+,MEGHALAYA,10th Pass
2186,Charles Marngar,MAWHATI (ST),INC,0,2 Crore+,9 Lac+,MEGHALAYA,8th Pass
2187,Banteidor Lyngdoh,MAWKYNREW (ST),PDF,0,1 Crore+,4 Lac+,MEGHALAYA,Graduate Professional
2188,Renikton Lyngdoh Tongkhar,MAWKYRWAT (ST),UDP,0,29 Crore+,7 Crore+,MEGHALAYA,Graduate
2189,Brightstarwell Marbaniang,MAWLAI (ST),Voice of the People Party,0,41 Lac+,22 Lac+,MEGHALAYA,Post Graduate
2190,Matthew Beyondstar Kurbah,MAWPHLANG (ST),UDP,0,0,,MEGHALAYA,Graduate Professional
2191,Heaving Stone Kharpran,MAWRYNGKNENG (ST),Voice of the People Party,0,1 Crore+,,MEGHALAYA,Graduate
2192,Methodius Dkhar,MAWSHYNRUT (ST),Hill State People’s Democratic Party,0,55 Crore+,2 Crore+,MEGHALAYA,Post Graduate
2193,Ollan Singh Suin,MAWSYNRAM (ST),UDP,0,61 Lac+,,MEGHALAYA,Graduate
2194,Shakliar Warjri,MAWTHADRAISHAN (ST),Hill State People’s Democratic Party,0,9 Crore+,,MEGHALAYA,Others
2195,Marthon J Sangma,MENDIPATHAR (ST),NPP,0,1 Crore+,,MEGHALAYA,Graduate
2196,Nujorki Sungoh,MOWKAIAW (ST),UDP,0,18 Lac+,11 Lac+,MEGHALAYA,Graduate
2197,Ronnie V. Lyngdoh,MYLLIEM (ST),INC,0,52 Lac+,12 Lac+,MEGHALAYA,12th Pass
2198,Sniawbhalang Dhar,NARTIANG (ST),NPP,0,45 Crore+,3 Crore+,MEGHALAYA,12th Pass
2199,Ardent Miller Basaiawmoit,NONGKREM (ST),Voice of the People Party,0,1 Crore+,,MEGHALAYA,Graduate
2200,Mayralborn Syiem,NONGPOH (ST),UDP,0,0,,MEGHALAYA,Post Graduate
2201,Gabriel Wahlang,NONGSTOIN (ST),INC,0,89 Lac+,55 Lac+,MEGHALAYA,Post Graduate
2202,Charles Pyngrope,NONGTHYMMAI (ST),AITC,0,14 Crore+,57 Lac+,MEGHALAYA,Graduate
2203,Adelbert Nongrum,NORTH SHILLONG (ST),Voice of the People Party,0,13 Lac+,,MEGHALAYA,Graduate
2204,Thomas A. Sangma,NORTH TURA (ST),NPP,1,3 Crore+,,MEGHALAYA,12th Pass
2205,Abu Taher Mondal,PHULBARI,NPP,0,2 Crore+,20 Lac+,MEGHALAYA,Graduate Professional
2206,Alexander Laloo Hek,PYNTHORUMKHRAH,BJP,0,16 Crore+,45 Lac+,MEGHALAYA,12th Pass
2207,Prestone Tynsong,PYNURSLA (ST),NPP,0,12 Crore+,,MEGHALAYA,Graduate
2208,Dr. Mizanur Rahman Kazi,RAJABALA,AITC,0,11 Crore+,69 Lac+,MEGHALAYA,Graduate Professional
2209,Limison D. Sangma,RAKSAMGRE (ST),NPP,0,1 Crore+,,MEGHALAYA,Others
2210,Coming One Ymbon,RALIANG (ST),NPP,0,0,,MEGHALAYA,10th Pass
2211,Remington Gabil Momin,RAMBRAI JYRNGAM (ST),IND,0,20 Lac+,6 Lac+,MEGHALAYA,Post Graduate
2212,Subir Marak,RANGSAKONA (ST),NPP,0,1 Crore+,13 Lac+,MEGHALAYA,Others
2213,Pius Marwein,RANIKOR (ST),UDP,0,8 Crore+,,MEGHALAYA,12th Pass
2214,Timothy Dalbot Shira,RESUBELPARA (ST),NPP,0,1 Crore+,,MEGHALAYA,Graduate
2215,Rakkam A. Sangma,RONGARA SIJU (ST),NPP,0,1 Crore+,8 Lac+,MEGHALAYA,Post Graduate
2216,Jim M Sangma,RONGJENG (ST),NPP,0,1 Crore+,2 Lac+,MEGHALAYA,Graduate Professional
2217,Ian Botham K. Sangma,SALMANPARA (ST),NPP,0,93 Lac+,35 Lac+,MEGHALAYA,Post Graduate
2218,Arbinstone B Marak,SELSELLA (ST),NPP,0,35 Lac+,6 Lac+,MEGHALAYA,Graduate
2219,Balajied Kupar Synrem,SHELLA (ST),UDP,0,4 Crore+,9 Lac+,MEGHALAYA,Post Graduate
2220,Gavin Miguel Mylliem,SOHRA (ST),PDF,0,0,9 Lac+,MEGHALAYA,Graduate
2221,Dr. Mukul Sangma,SONGSAK (ST),AITC,0,28 Crore+,1 Crore+,MEGHALAYA,Graduate Professional
2222,Sanbor Shullai,SOUTH SHILLONG,BJP,0,12 Crore+,,MEGHALAYA,10th Pass
2223,Conrad Kongkal Sangma,SOUTH TURA (ST),NPP,0,14 Crore+,24 Lac+,MEGHALAYA,Post Graduate
2224,Santa Mary Shylla,SUTNGA SAIPUNG (ST),NPP,0,3 Crore+,33 Lac+,MEGHALAYA,Graduate
2225,Jimmy D. Sangma,TIKRIKILLA (ST),NPP,0,88 Lac+,,MEGHALAYA,12th Pass
2226,Damanbait Lamare,UMROI (ST),NPP,0,5 Crore+,,MEGHALAYA,10th Pass
2227,Dr. Celestine Lyngdoh,UMSNING (ST),INC,0,8 Crore+,,MEGHALAYA,Post Graduate
2228,Paul Lyngdoh,WEST SHILLONG,UDP,0,2 Crore+,,MEGHALAYA,Post Graduate
2229,Marcuise N Marak,WILLIAM NAGAR (ST),NPP,0,3 Crore+,,MEGHALAYA,12th Pass
2230,Lalthansanga,AIZAWL EAST-I,Zoram People’s Movement,0,2 Crore+,,MIZORAM,12th Pass
2231,B. Lalchhanzova,AIZAWL EAST-II (ST),Zoram People’s Movement,0,2 Crore+,14 Lac+,MIZORAM,Post Graduate
2232,Vanlalhlana,AIZAWL NORTH-I (ST),Zoram People’s Movement,0,3 Crore+,22 Lac+,MIZORAM,Post Graduate
2233,Dr. Vanlalthlana,AIZAWL NORTH-II (ST),Zoram People’s Movement,0,2 Crore+,79 Lac+,MIZORAM,Doctorate
2234,K. Sapdanga,AIZAWL NORTH-III (ST),Zoram People’s Movement,1,21 Crore+,1 Crore+,MIZORAM,Graduate
2235,C. Lalsawivunga,AIZAWL SOUTH-I (ST),Zoram People’s Movement,0,1 Crore+,19 Lac+,MIZORAM,Graduate
2236,Lalchhuanthanga,AIZAWL SOUTH-II (ST),Zoram People’s Movement,0,16 Crore+,36 Lac+,MIZORAM,Graduate
2237,Baryl Vanneihsangi,AIZAWL SOUTH-III (ST),Zoram People’s Movement,0,1 Crore+,35 Lac+,MIZORAM,Post Graduate
2238,Tbc Lalvenchhunga,AIZAWL WEST-I (ST),Zoram People’s Movement,0,80 Lac+,1 Lac+,MIZORAM,12th Pass
2239,Lalnghinglova Hmar,AIZAWL WEST-II (ST),Zoram People’s Movement,1,0,1 Crore+,MIZORAM,Post Graduate
2240,V. L. Zaithanzama,AIZAWL WEST-III (ST),Zoram People’s Movement,0,2 Crore+,26 Lac+,MIZORAM,10th Pass
2241,Lalbiakzama,CHALFILH (ST),Zoram People’s Movement,0,15 Crore+,2 Crore+,MIZORAM,Graduate
2242,H. Ginzalala,CHAMPHAI NORTH (ST),Zoram People’s Movement,0,36 Crore+,22 Lac+,MIZORAM,Post Graduate
2243,Lt Col. Clement Lalhmingthanga,CHAMPHAI SOUTH (ST),Zoram People’s Movement,0,10 Crore+,99 Lac+,MIZORAM,Graduate
2244,Lalrintluanga Sailo,DAMPA (ST),MNF,0,5 Crore+,1 Crore+,MIZORAM,8th Pass
2245,Ramthanmawia,EAST TUIPUI (ST),MNF,0,13 Crore+,23 Lac+,MIZORAM,Graduate Professional
2246,Robert Romawia Royte,HACHHEK (ST),MNF,0,32 Crore+,50 Lac+,MIZORAM,Post Graduate
2247,Lalmuanpuia Punte,HRANGTURZO (ST),Zoram People’s Movement,0,57 Lac+,1 Lac+,MIZORAM,Graduate
2248,Lalfamkima,KOLASIB (ST),Zoram People’s Movement,0,8 Crore+,5 Lac+,MIZORAM,Graduate
2249,Dr. Lorrain Lalpekliana Chinzah,LAWNGTLAI EAST (ST),Zoram People’s Movement,0,0,,MIZORAM,Graduate Professional
2250,C. Ngunlianchunga,LAWNGTLAI WEST (ST),INC,0,9 Crore+,22 Lac+,MIZORAM,8th Pass
2251,F.Rodingliana,LENGTENG (ST),Zoram People’s Movement,0,22 Crore+,1 Crore+,MIZORAM,10th Pass
2252,Lalrinpuii,LUNGLEI EAST (ST),Zoram People’s Movement,0,3 Crore+,23 Lac+,MIZORAM,Graduate
2253,V. Malsawmtluanga,LUNGLEI NORTH (ST),Zoram People’s Movement,1,2 Crore+,5 Lac+,MIZORAM,Post Graduate
2254,Lalramliana Papuia,LUNGLEI SOUTH (ST),Zoram People’s Movement,0,99 Lac+,4 Lac+,MIZORAM,Post Graduate
2255,T. Lalhlimpuia,LUNGLEI WEST (ST),Zoram People’s Movement,0,89 Lac+,,MIZORAM,Post Graduate
2256,H. Lalzirliana,MAMIT (ST),MNF,0,3 Crore+,80 Lac+,MIZORAM,Graduate Professional
2257,K. Hrahmo,PALAK (ST),BJP,0,1 Crore+,15 Lac+,MIZORAM,Graduate
2258,Dr. K. Beichhua,SAIHA (ST),BJP,0,5 Crore+,22 Lac+,MIZORAM,Graduate Professional
2259,Lalduhoma,SERCHHIP (ST),Zoram People’s Movement,0,0,21 Lac+,MIZORAM,Graduate
2260,Lalrinsanga Ralte,SERLUI (ST),MNF,0,85 Lac+,20 Lac+,MIZORAM,Graduate
2261,Jeje Lalpekhlua,SOUTH TUIPUI (ST),Zoram People’s Movement,0,8 Crore+,32 Lac+,MIZORAM,12th Pass
2262,Prof. Lalnilawma,TAWI (ST),Zoram People’s Movement,0,1 Crore+,38 Lac+,MIZORAM,Doctorate
2263,R. Rohmingliana,THORANG (ST),MNF,0,11 Crore+,27 Lac+,MIZORAM,Post Graduate
2264,W Chhuanawma,TUICHANG (ST),Zoram People’s Movement,0,35 Crore+,3 Lac+,MIZORAM,12th Pass
2265,Rasik Mohan Chakma,TUICHAWNG (ST),MNF,0,2 Crore+,1 Lac+,MIZORAM,Graduate
2266,P.C. Vanlalruata,TUIKUM (ST),Zoram People’s Movement,0,6 Crore+,2 Crore+,MIZORAM,Post Graduate
2267,K. Laldawngliana,TUIRIAL (ST),MNF,0,7 Crore+,27 Lac+,MIZORAM,Post Graduate
2268,Lalchhandama Ralte,TUIVAWL (ST),MNF,0,4 Crore+,60 Lac+,MIZORAM,Post Graduate
2269,Prova Chakma,WEST TUIPUI (ST),MNF,0,0,11 Lac+,MIZORAM,Post Graduate
2270,C. Manpon Konyak,ABOI (ST),IND,0,14 Lac+,,NAGALAND,Post Graduate
2271,G Ikuto Zhimomi,AGHUNATO (ST),NDPP,1,11 Crore+,,NAGALAND,Graduate
2272,Kazheto,AKULUTO (ST),BJP,0,6 Crore+,,NAGALAND,Illiterate
2273,Temjen Imna Along,ALONGTAKI (ST),BJP,0,10 Crore+,,NAGALAND,12th Pass
2274,Tongpang Ozukum,ANGETYONGPANG (ST),NDPP,0,2 Crore+,,NAGALAND,Graduate
2275,Sharingain Longkumer,AONGLENDEN,NDPP,0,10 Crore+,6 Lac+,NAGALAND,Graduate Professional
2276,Nuklutoshi,ARKAKONG (ST),NPP,0,1 Crore+,10 Lac+,NAGALAND,Graduate
2277,Picto,ATOIZU (ST),NCP,0,4 Crore+,,NAGALAND,Others
2278,Achumbemo Kikon,BHANDARI (ST),NPF,0,5 Crore+,,NAGALAND,Graduate Professional
2279,Kudecho Khamo,CHAZOUBA (ST),NDPP,0,0,,NAGALAND,Post Graduate
2280,K. G Kenye,CHIZAMI (ST),NDPP,0,4 Crore+,,NAGALAND,12th Pass
2281,H. Tovihoto Ayemi,DIMAPUR-I,BJP,0,9 Crore+,33 Lac+,NAGALAND,Graduate
2282,Moatoshi Longkumer,DIMAPUR-II (ST),NDPP,0,6 Crore+,19 Lac+,NAGALAND,Post Graduate
2283,Hekani Jakhalu,DIMAPUR-III (ST),NDPP,0,5 Crore+,41 Lac+,NAGALAND,Post Graduate
2284,N. Jacob Zhimomi,GHASPANI-I (ST),BJP,0,10 Crore+,,NAGALAND,Graduate
2285,Zhaleo Rio,GHASPANI-II (ST),NDPP,0,9 Crore+,,NAGALAND,Graduate
2286,T N Mannen,IMPUR (ST),NDPP,0,15 Crore+,,NAGALAND,Post Graduate
2287,Temjenmenba,JANGPETKONG (ST),NDPP,0,1 Crore+,27 Lac+,NAGALAND,Post Graduate
2288,Dr Tseilhoutuo Rhutso (Dr Ato),KOHIMA TOWN (ST),NPP,0,22 Crore+,,NAGALAND,Post Graduate
2289,Imkong L. Imchen,KORIDANG (ST),BJP,0,0,,NAGALAND,Post Graduate
2290,Sethronkyu,LONGKHIM CHARE (ST),BJP,0,1 Crore+,,NAGALAND,Graduate
2291,A Pongshi Phom,LONGLENG (ST),NCP,0,6 Crore+,,NAGALAND,Others
2292,Z.Nyusietho Nyuthe,MELURI (ST),NDPP,0,1 Crore+,,NAGALAND,Post Graduate
2293,A Nyamnyei Konyak,MOKA (ST),NPP,0,5 Crore+,,NAGALAND,8th Pass
2294,Metsubo Jamir,MOKOKCHUNG TOWN,NDPP,0,8 Crore+,,NAGALAND,Graduate
2295,Y Mankhao Konyak,MON TOWN (ST),NCP,0,13 Lac+,,NAGALAND,Graduate
2296,Imkongmar,MONGOYA,NDPP,0,2 Crore+,,NAGALAND,Graduate
2297,Puthai Longon,NOKLAK (ST),NCP,0,4 Crore+,,NAGALAND,Graduate
2298,Y. Lima Onen Chang,NOKSEN (ST),Republican Party of India (Athawale),0,7 Lac+,,NAGALAND,Graduate
2299,Dr.Kekhrielhoulie Yhome,NORTHERN ANGAMI-I (ST),NDPP,0,0,15 Lac+,NAGALAND,Doctorate
2300,Neiphiu Rio,NORTHERN ANGAMI-II (ST),NDPP,0,46 Crore+,8 Lac+,NAGALAND,Graduate
2301,Taditui Rangkau Zeliang,PEREN (ST),NDPP,0,7 Crore+,,NAGALAND,12th Pass
2302,Dr.Neisatuo Mero,PFUTSERO (ST),IND,0,2 Crore+,52 Lac+,NAGALAND,Graduate Professional
2303,Kuzholuzo Nienu,PHEK (ST),NPF,0,7 Crore+,30 Lac+,NAGALAND,12th Pass
2304,K Konngam Konyak,PHOMCHING (ST),BJP,0,11 Crore+,,NAGALAND,8th Pass
2305,Dr Sukhato A Sema,PUGHOBOTO (ST),Lok Janshakti Party(Ram Vilas),0,160 Crore+,,NAGALAND,Post Graduate
2306,S. Kiusumew Yimchunger,PUNGRO KIPHIRE (ST),NDPP,0,49 Lac+,,NAGALAND,8th Pass
2307,Mhathung Yanthan,SANIS (ST),NDPP,0,8 Crore+,,NAGALAND,Post Graduate
2308,G. Kaito Aye,SATAKHA (ST),NDPP,0,16 Crore+,,NAGALAND,8th Pass
2309,C. Kipili Sangtam,SEYOCHUNG SITIMI (ST),NPP,0,0,8 Lac+,NAGALAND,8th Pass
2310,S Keoshu Yimchunger,SHAMATOR CHESSORE (ST),NDPP,0,5 Crore+,5 Lac+,NAGALAND,12th Pass
2311,Kevipodi Sophie,SOUTHERN ANGAMI-I (ST),IND,0,6 Crore+,,NAGALAND,Post Graduate
2312,Kropol Vitsu,SOUTHERN ANGAMI-II (ST),BJP,0,3 Crore+,35 Lac+,NAGALAND,Graduate Professional
2313,S. Toiho Yeptho,SURUHUTO (ST),NCP,0,7 Crore+,,NAGALAND,Graduate
2314,B. Bangtick Phom,TAMLU (ST),IND,0,1 Crore+,,NAGALAND,10th Pass
2315,Noke Wangnao,TAPI (ST),NDPP,0,5 Crore+,,NAGALAND,10th Pass
2316,C.L John,TEHOK (ST),NDPP,0,5 Crore+,,NAGALAND,8th Pass
2317,Namri Nchang,TENNING (ST),NCP,0,2 Crore+,,NAGALAND,Graduate
2318,Benei M Lamthiu,THONOKNYU (ST),NPP,0,2 Crore+,,NAGALAND,Graduate
2319,P. Paiwang Konyak,TIZIT (ST),BJP,0,0,,NAGALAND,Graduate
2320,Naiba Konyak,TOBU (ST),Lok Janshakti Party(Ram Vilas),0,78 Lac+,,NAGALAND,Graduate
2321,Jwenga Seb,TSEMINYU (ST),JD(U),0,7 Crore+,19 Lac+,NAGALAND,Graduate Professional
2322,P. Bashangmongba Chang,TUENSANG SADAR-I (ST),BJP,0,2 Crore+,,NAGALAND,12th Pass
2323,Imtichoba,TUENSANG SADAR-II (ST),Republican Party of India (Athawale),0,6 Lac+,,NAGALAND,Graduate
2324,A. Pangjung Jamir,TULI (ST),BJP,1,4 Crore+,,NAGALAND,Graduate
2325,Yanthungo Patton,TYUI (ST),BJP,0,2 Crore+,,NAGALAND,12th Pass
2326,W Chingang Konyak,WAKCHING (ST),NDPP,0,5 Crore+,,NAGALAND,Graduate
2327,Salhoutuonuo Kruse,WESTERN ANGAMI (ST),NDPP,0,13 Crore+,,NAGALAND,12th Pass
2328,Y Mhonbemo Humtsoe,WOKHA (ST),NCP,0,7 Crore+,,NAGALAND,Post Graduate
2329,K Tokugha Sukhalu,ZUNHEBOTO (ST),NDPP,0,0,,NAGALAND,Post Graduate
2330,Bhagirathi Sethy,ANANDAPUR,BJD,5,37 Lac+,,ODISHA,10th Pass
2331,Rajanikant Singh,ANGUL,BJD,0,2 Crore+,16 Lac+,ODISHA,Post Graduate
2332,Manjula Swain,ASKA,BJD,0,92 Lac+,,ODISHA,5th Pass
2333,Ranendra Pratap Swain,ATHAGARH,BJD,0,2 Crore+,27 Lac+,ODISHA,Post Graduate
2334,Ramesh Chandra Sai,ATHAMALLIK,BJD,0,1 Crore+,6 Lac+,ODISHA,Graduate
2335,Snehangini Chhuria,ATTABIRA,BJD,1,1 Crore+,32 Lac+,ODISHA,Post Graduate
2336,Pratap Keshari Deb,AUL,BJD,0,6 Crore+,3 Lac+,ODISHA,Graduate
2337,Sanatan Bijuli,BADASAHI,BJP,2,1 Crore+,,ODISHA,Graduate
2338,Madan Mohan Dutta,BALASORE,BJP,3,3 Lac+,3 Lac+,ODISHA,8th Pass
2339,Chakramani Kanhar,BALIGUDA,BJD,1,0,6 Lac+,ODISHA,12th Pass
2340,Raghunandan Das,BALIKUDA-ERASAMA,BJD,0,3 Crore+,4 Lac+,ODISHA,Graduate Professional
2341,Sudam Marndi,BANGRIPOSI,BJD,11,2 Crore+,5 Lac+,ODISHA,12th Pass
2342,Devi Ranjan Tripathy,BANKI,BJD,2,86 Lac+,19 Lac+,ODISHA,Post Graduate
2343,Mohammed Moquim,BARABATI-CUTTACK,INC,13,17 Crore+,18 Lac+,ODISHA,Graduate Professional
2344,Amar Prasad Satpathy,BARACHANA,BJD,0,1 Crore+,15 Thou+,ODISHA,Post Graduate
2345,Debi Prasad Mishra,BARAMBA,BJD,0,5 Crore+,1 Crore+,ODISHA,Graduate
2346,Debesh Acharya,BARGARH,BJD,2,3 Crore+,57 Lac+,ODISHA,Graduate Professional
2347,Sunanda Das,BARI,BJD,0,8 Lac+,,ODISHA,10th Pass
2348,Prakash Soren,BARIPADA,BJP,5,9 Lac+,94 Thou+,ODISHA,10th Pass
2349,Nityananda Sahoo,BASTA,BJD,0,0,4 Lac+,ODISHA,10th Pass
2350,Bishnubrata Routray,BASUDEVPUR,BJD,0,7 Crore+,2 Crore+,ODISHA,Graduate
2351,Rajendra Kumar Sahoo,BEGUNIA,BJD,18,7 Crore+,1 Lac+,ODISHA,12th Pass
2352,Bikram Kumar Panda,BERHAMPUR,BJD,1,8 Crore+,4 Crore+,ODISHA,Post Graduate
2353,Sanjib Kumar Mallick,BHADRAK,BJD,0,19 Crore+,7 Crore+,ODISHA,Graduate Professional
2354,Prafulla Samal,BHANDARIPOKHARI,BJD,0,1 Crore+,1 Lac+,ODISHA,Graduate Professional
2355,Bikram Keshari Arukha,BHANJANAGAR,BJD,0,3 Crore+,14 Lac+,ODISHA,Post Graduate
2356,Susanta Singh,BHATLI,BJD,3,58 Lac+,,ODISHA,12th Pass
